date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:12	93985/93985	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2017:50:11%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/protected/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/protected/index.html	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	193275/193275	---M--	200	added ('OK')	image/jpeg	etag:%222f2fb-62d7e5af-a3b1827f6a401bf3;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/2-1.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/2-1.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	116328/116328	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2017:50:10%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/blog-full/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/blog-full/index.html	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	75379/75379	---M--	200	added ('OK')	image/jpeg	etag:%2212673-62d7e5ae-52cf2ab1f3ac8b84;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/3-1.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/3-1.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	28704/28704	---M--	200	added ('OK')	image/jpeg	etag:%227020-62d7e5ae-ba8268af33f1482d;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/4-1.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/4-1.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	120840/120840	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2017:50:11%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/blog-sidebar/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/blog-sidebar/index.html	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	368671/368671	---M--	200	added ('OK')	image/jpeg	etag:%225a01f-62d7e5ad-4ce840ec5bb1e632;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/5.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/5.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:12	479/479	---M-Z	200	added ('OK')	image/svg+xml	etag:%221df-62e7c03c-33e970553a1c6447;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/svg/checked.svg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/svg/checked.svg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:13	3135/3135	---M--	200	added ('OK')	image/png	etag:%22c3f-62d7e97f-fe08aa62e24772ec;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2022/07/8.png	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2022/07/8.png	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:13	2290/2290	---M--	200	added ('OK')	image/png	etag:%228f2-62d7e97d-fb336c8da60c057a;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2022/07/7.png	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2022/07/7.png	(from https://frenify.net/envato/frenify/wp/resumo/2/)
